Fecha,Precio Cierre,Capitalización (Millones USD),Empresa
2024-01-01,10.16,595.5792,EHang
2024-01-01,5.46,3387.5478,Joby Aviation
2024-02-01,10.79,632.5098,EHang
2024-02-01,5.62,3486.8166,Joby Aviation
2024-03-01,20.57,1205.8134,EHang
2024-03-01,5.36,3325.5048,Joby Aviation
2024-04-01,17.82,1044.6084,EHang
2024-04-01,5.05,3133.1715,Joby Aviation
2024-05-01,16.97,994.7813999999998,EHang
2024-05-01,4.87,3021.4941,Joby Aviation
2024-06-01,13.58,796.0596,EHang
2024-06-01,5.1,3164.193,Joby Aviation
2024-07-01,12.76,747.9912,EHang
2024-07-01,5.98,3710.1714000000006,Joby Aviation
2024-08-01,14.56,853.5072,EHang
2024-08-01,5.0,3102.15,Joby Aviation
2024-09-01,14.14,828.8868,EHang
2024-09-01,5.03,3120.7629,Joby Aviation
2024-10-01,4.8,2978.064,Joby Aviation
2024-10-01,17.03,998.2986000000001,EHang
